,Date,Away,AwayPoints,Home,HomePoints,HomeAbbreviation,AwayAbbreviation,GameUrl,A_Team,B_Team,Winner,PointDifferential
268,2024-11-27,Denver Nuggets,122,Utah Jazz,103,UTA,DEN,https://www.basketball-reference.com/boxscores/202411270UTA.html,Denver Nuggets,Utah Jazz,Away,-19
269,2024-11-27,Oklahoma City Thunder,105,Golden State Warriors,101,GSW,OKC,https://www.basketball-reference.com/boxscores/202411270GSW.html,Golden State Warriors,Oklahoma City Thunder,Away,-4
270,2024-11-29,New York Knicks,99,Charlotte Hornets,98,CHO,NYK,https://www.basketball-reference.com/boxscores/202411290CHO.html,Charlotte Hornets,New York Knicks,Away,-1
271,2024-11-29,Cleveland Cavaliers,101,Atlanta Hawks,117,ATL,CLE,https://www.basketball-reference.com/boxscores/202411290ATL.html,Atlanta Hawks,Cleveland Cavaliers,Home,16
272,2024-11-29,New Orleans Pelicans,109,Memphis Grizzlies,120,MEM,NOP,https://www.basketball-reference.com/boxscores/202411290MEM.html,Memphis Grizzlies,New Orleans Pelicans,Home,11
273,2024-11-29,Orlando Magic,123,Brooklyn Nets,100,BRK,ORL,https://www.basketball-reference.com/boxscores/202411290BRK.html,Brooklyn Nets,Orlando Magic,Away,-23
274,2024-11-29,Los Angeles Clippers,92,Minnesota Timberwolves,93,MIN,LAC,https://www.basketball-reference.com/boxscores/202411290MIN.html,Los Angeles Clippers,Minnesota Timberwolves,Home,1
275,2024-11-29,Boston Celtics,138,Chicago Bulls,129,CHI,BOS,https://www.basketball-reference.com/boxscores/202411290CHI.html,Boston Celtics,Chicago Bulls,Away,-9
276,2024-11-29,Detroit Pistons,130,Indiana Pacers,106,IND,DET,https://www.basketball-reference.com/boxscores/202411290IND.html,Detroit Pistons,Indiana Pacers,Away,-24
277,2024-11-29,Toronto Raptors,111,Miami Heat,121,MIA,TOR,https://www.basketball-reference.com/boxscores/202411290MIA.html,Miami Heat,Toronto Raptors,Home,10
278,2024-11-29,Oklahoma City Thunder,101,Los Angeles Lakers,93,LAL,OKC,https://www.basketball-reference.com/boxscores/202411290LAL.html,Los Angeles Lakers,Oklahoma City Thunder,Away,-8
279,2024-11-29,Sacramento Kings,106,Portland Trail Blazers,115,POR,SAC,https://www.basketball-reference.com/boxscores/202411290POR.html,Portland Trail Blazers,Sacramento Kings,Home,9
280,2024-11-30,Atlanta Hawks,107,Charlotte Hornets,104,CHO,ATL,https://www.basketball-reference.com/boxscores/202411300CHO.html,Atlanta Hawks,Charlotte Hornets,Away,-3
281,2024-11-30,Philadelphia 76ers,111,Detroit Pistons,96,DET,PHI,https://www.basketball-reference.com/boxscores/202411300DET.html,Detroit Pistons,Philadelphia 76ers,Away,-15
282,2024-11-30,Washington Wizards,114,Milwaukee Bucks,124,MIL,WAS,https://www.basketball-reference.com/boxscores/202411300MIL.html,Milwaukee Bucks,Washington Wizards,Home,10
283,2024-11-30,Golden State Warriors,105,Phoenix Suns,113,PHO,GSW,https://www.basketball-reference.com/boxscores/202411300PHO.html,Golden State Warriors,Phoenix Suns,Home,8
284,2024-11-30,Dallas Mavericks,106,Utah Jazz,94,UTA,DAL,https://www.basketball-reference.com/boxscores/202411300UTA.html,Dallas Mavericks,Utah Jazz,Away,-12
285,2024-12-01,Orlando Magic,100,Brooklyn Nets,92,BRK,ORL,https://www.basketball-reference.com/boxscores/202412010BRK.html,Brooklyn Nets,Orlando Magic,Away,-8
286,2024-12-01,Indiana Pacers,121,Memphis Grizzlies,136,MEM,IND,https://www.basketball-reference.com/boxscores/202412010MEM.html,Indiana Pacers,Memphis Grizzlies,Home,15
287,2024-12-01,Boston Celtics,111,Cleveland Cavaliers,115,CLE,BOS,https://www.basketball-reference.com/boxscores/202412010CLE.html,Boston Celtics,Cleveland Cavaliers,Home,4
288,2024-12-01,New Orleans Pelicans,85,New York Knicks,118,NYK,NOP,https://www.basketball-reference.com/boxscores/202412010NYK.html,New Orleans Pelicans,New York Knicks,Home,33
289,2024-12-01,Miami Heat,116,Toronto Raptors,119,TOR,MIA,https://www.basketball-reference.com/boxscores/202412010TOR.html,Miami Heat,Toronto Raptors,Home,3
290,2024-12-01,Oklahoma City Thunder,116,Houston Rockets,119,HOU,OKC,https://www.basketball-reference.com/boxscores/202412010HOU.html,Houston Rockets,Oklahoma City Thunder,Home,3
291,2024-12-01,Los Angeles Lakers,105,Utah Jazz,104,UTA,LAL,https://www.basketball-reference.com/boxscores/202412010UTA.html,Los Angeles Lakers,Utah Jazz,Away,-1
292,2024-12-01,Dallas Mavericks,137,Portland Trail Blazers,131,POR,DAL,https://www.basketball-reference.com/boxscores/202412010POR.html,Dallas Mavericks,Portland Trail Blazers,Away,-6
293,2024-12-01,San Antonio Spurs,127,Sacramento Kings,125,SAC,SAS,https://www.basketball-reference.com/boxscores/202412010SAC.html,Sacramento Kings,San Antonio Spurs,Away,-2
294,2024-12-01,Denver Nuggets,122,Los Angeles Clippers,126,LAC,DEN,https://www.basketball-reference.com/boxscores/202412010LAC.html,Denver Nuggets,Los Angeles Clippers,Home,4
295,2024-12-02,New Orleans Pelicans,112,Atlanta Hawks,124,ATL,NOP,https://www.basketball-reference.com/boxscores/202412020ATL.html,Atlanta Hawks,New Orleans Pelicans,Home,12
296,2024-12-02,Miami Heat,89,Boston Celtics,108,BOS,MIA,https://www.basketball-reference.com/boxscores/202412020BOS.html,Boston Celtics,Miami Heat,Home,19
297,2024-12-02,Brooklyn Nets,102,Chicago Bulls,128,CHI,BRK,https://www.basketball-reference.com/boxscores/202412020CHI.html,Brooklyn Nets,Chicago Bulls,Home,26
298,2024-12-02,Los Angeles Lakers,80,Minnesota Timberwolves,109,MIN,LAL,https://www.basketball-reference.com/boxscores/202412020MIN.html,Los Angeles Lakers,Minnesota Timberwolves,Home,29
299,2024-12-03,Philadelphia 76ers,110,Charlotte Hornets,104,CHO,PHI,https://www.basketball-reference.com/boxscores/202412030CHO.html,Charlotte Hornets,Philadelphia 76ers,Away,-6
300,2024-12-03,Washington Wizards,87,Cleveland Cavaliers,118,CLE,WAS,https://www.basketball-reference.com/boxscores/202412030CLE.html,Cleveland Cavaliers,Washington Wizards,Home,31
301,2024-12-03,Milwaukee Bucks,128,Detroit Pistons,107,DET,MIL,https://www.basketball-reference.com/boxscores/202412030DET.html,Detroit Pistons,Milwaukee Bucks,Away,-21
302,2024-12-03,Orlando Magic,106,New York Knicks,121,NYK,ORL,https://www.basketball-reference.com/boxscores/202412030NYK.html,New York Knicks,Orlando Magic,Home,15
303,2024-12-03,Indiana Pacers,111,Toronto Raptors,122,TOR,IND,https://www.basketball-reference.com/boxscores/202412030TOR.html,Indiana Pacers,Toronto Raptors,Home,11
304,2024-12-03,Utah Jazz,106,Oklahoma City Thunder,133,OKC,UTA,https://www.basketball-reference.com/boxscores/202412030OKC.html,Oklahoma City Thunder,Utah Jazz,Home,27
305,2024-12-03,Memphis Grizzlies,116,Dallas Mavericks,121,DAL,MEM,https://www.basketball-reference.com/boxscores/202412030DAL.html,Dallas Mavericks,Memphis Grizzlies,Home,5
306,2024-12-03,San Antonio Spurs,93,Phoenix Suns,104,PHO,SAS,https://www.basketball-reference.com/boxscores/202412030PHO.html,Phoenix Suns,San Antonio Spurs,Home,11
307,2024-12-03,Golden State Warriors,115,Denver Nuggets,119,DEN,GSW,https://www.basketball-reference.com/boxscores/202412030DEN.html,Denver Nuggets,Golden State Warriors,Home,4
308,2024-12-03,Houston Rockets,111,Sacramento Kings,120,SAC,HOU,https://www.basketball-reference.com/boxscores/202412030SAC.html,Houston Rockets,Sacramento Kings,Home,9
309,2024-12-03,Portland Trail Blazers,105,Los Angeles Clippers,127,LAC,POR,https://www.basketball-reference.com/boxscores/202412030LAC.html,Los Angeles Clippers,Portland Trail Blazers,Home,22
310,2024-12-04,Detroit Pistons,120,Boston Celtics,130,BOS,DET,https://www.basketball-reference.com/boxscores/202412040BOS.html,Boston Celtics,Detroit Pistons,Home,10
311,2024-12-04,Indiana Pacers,90,Brooklyn Nets,99,BRK,IND,https://www.basketball-reference.com/boxscores/202412040BRK.html,Brooklyn Nets,Indiana Pacers,Home,9
312,2024-12-04,Los Angeles Lakers,93,Miami Heat,134,MIA,LAL,https://www.basketball-reference.com/boxscores/202412040MIA.html,Los Angeles Lakers,Miami Heat,Home,41
313,2024-12-04,Orlando Magic,106,Philadelphia 76ers,102,PHI,ORL,https://www.basketball-reference.com/boxscores/202412040PHI.html,Orlando Magic,Philadelphia 76ers,Away,-4
314,2024-12-04,Atlanta Hawks,119,Milwaukee Bucks,104,MIL,ATL,https://www.basketball-reference.com/boxscores/202412040MIL.html,Atlanta Hawks,Milwaukee Bucks,Away,-15
315,2024-12-04,Minnesota Timberwolves,108,Los Angeles Clippers,80,LAC,MIN,https://www.basketball-reference.com/boxscores/202412040LAC.html,Los Angeles Clippers,Minnesota Timberwolves,Away,-28
316,2024-12-05,Denver Nuggets,114,Cleveland Cavaliers,126,CLE,DEN,https://www.basketball-reference.com/boxscores/202412050CLE.html,Cleveland Cavaliers,Denver Nuggets,Home,12
317,2024-12-05,Dallas Mavericks,137,Washington Wizards,101,WAS,DAL,https://www.basketball-reference.com/boxscores/202412050WAS.html,Dallas Mavericks,Washington Wizards,Away,-36
318,2024-12-05,Charlotte Hornets,101,New York Knicks,125,NYK,CHO,https://www.basketball-reference.com/boxscores/202412050NYK.html,Charlotte Hornets,New York Knicks,Home,24
319,2024-12-05,Oklahoma City Thunder,129,Toronto Raptors,92,TOR,OKC,https://www.basketball-reference.com/boxscores/202412050TOR.html,Oklahoma City Thunder,Toronto Raptors,Away,-37
320,2024-12-05,Sacramento Kings,110,Memphis Grizzlies,115,MEM,SAC,https://www.basketball-reference.com/boxscores/202412050MEM.html,Memphis Grizzlies,Sacramento Kings,Home,5
321,2024-12-05,Phoenix Suns,124,New Orleans Pelicans,126,NOP,PHO,https://www.basketball-reference.com/boxscores/202412050NOP.html,New Orleans Pelicans,Phoenix Suns,Home,2
322,2024-12-05,Chicago Bulls,139,San Antonio Spurs,124,SAS,CHI,https://www.basketball-reference.com/boxscores/202412050SAS.html,Chicago Bulls,San Antonio Spurs,Away,-15
323,2024-12-05,Houston Rockets,93,Golden State Warriors,99,GSW,HOU,https://www.basketball-reference.com/boxscores/202412050GSW.html,Golden State Warriors,Houston Rockets,Home,6
324,2024-12-06,Orlando Magic,94,Philadelphia 76ers,102,PHI,ORL,https://www.basketball-reference.com/boxscores/202412060PHI.html,Orlando Magic,Philadelphia 76ers,Home,8
325,2024-12-06,Los Angeles Lakers,132,Atlanta Hawks,134,ATL,LAL,https://www.basketball-reference.com/boxscores/202412060ATL.html,Atlanta Hawks,Los Angeles Lakers,Home,2
326,2024-12-06,Milwaukee Bucks,105,Boston Celtics,111,BOS,MIL,https://www.basketball-reference.com/boxscores/202412060BOS.html,Boston Celtics,Milwaukee Bucks,Home,6
327,2024-12-06,Indiana Pacers,132,Chicago Bulls,123,CHI,IND,https://www.basketball-reference.com/boxscores/202412060CHI.html,Chicago Bulls,Indiana Pacers,Away,-9
328,2024-12-06,Sacramento Kings,140,San Antonio Spurs,113,SAS,SAC,https://www.basketball-reference.com/boxscores/202412060SAS.html,Sacramento Kings,San Antonio Spurs,Away,-27
329,2024-12-06,Minnesota Timberwolves,107,Golden State Warriors,90,GSW,MIN,https://www.basketball-reference.com/boxscores/202412060GSW.html,Golden State Warriors,Minnesota Timberwolves,Away,-17
330,2024-12-06,Utah Jazz,141,Portland Trail Blazers,99,POR,UTA,https://www.basketball-reference.com/boxscores/202412060POR.html,Portland Trail Blazers,Utah Jazz,Away,-42
331,2024-12-07,Cleveland Cavaliers,116,Charlotte Hornets,102,CHO,CLE,https://www.basketball-reference.com/boxscores/202412070CHO.html,Charlotte Hornets,Cleveland Cavaliers,Away,-14
332,2024-12-07,Oklahoma City Thunder,119,New Orleans Pelicans,109,NOP,OKC,https://www.basketball-reference.com/boxscores/202412070NOP.html,New Orleans Pelicans,Oklahoma City Thunder,Away,-10
333,2024-12-07,Denver Nuggets,113,Washington Wizards,122,WAS,DEN,https://www.basketball-reference.com/boxscores/202412070WAS.html,Denver Nuggets,Washington Wizards,Home,9
334,2024-12-07,Detroit Pistons,120,New York Knicks,111,NYK,DET,https://www.basketball-reference.com/boxscores/202412070NYK.html,Detroit Pistons,New York Knicks,Away,-9
335,2024-12-07,Dallas Mavericks,125,Toronto Raptors,118,TOR,DAL,https://www.basketball-reference.com/boxscores/202412070TOR.html,Dallas Mavericks,Toronto Raptors,Away,-7
336,2024-12-07,Memphis Grizzlies,127,Boston Celtics,121,BOS,MEM,https://www.basketball-reference.com/boxscores/202412070BOS.html,Boston Celtics,Memphis Grizzlies,Away,-6
337,2024-12-07,Phoenix Suns,111,Miami Heat,121,MIA,PHO,https://www.basketball-reference.com/boxscores/202412070MIA.html,Miami Heat,Phoenix Suns,Home,10
338,2024-12-08,Philadelphia 76ers,108,Chicago Bulls,100,CHI,PHI,https://www.basketball-reference.com/boxscores/202412080CHI.html,Chicago Bulls,Philadelphia 76ers,Away,-8
339,2024-12-08,Milwaukee Bucks,118,Brooklyn Nets,113,BRK,MIL,https://www.basketball-reference.com/boxscores/202412080BRK.html,Brooklyn Nets,Milwaukee Bucks,Away,-5
340,2024-12-08,Charlotte Hornets,113,Indiana Pacers,109,IND,CHO,https://www.basketball-reference.com/boxscores/202412080IND.html,Charlotte Hornets,Indiana Pacers,Away,-4
341,2024-12-08,Denver Nuggets,141,Atlanta Hawks,111,ATL,DEN,https://www.basketball-reference.com/boxscores/202412080ATL.html,Atlanta Hawks,Denver Nuggets,Away,-30
342,2024-12-08,Cleveland Cavaliers,113,Miami Heat,122,MIA,CLE,https://www.basketball-reference.com/boxscores/202412080MIA.html,Cleveland Cavaliers,Miami Heat,Home,9
343,2024-12-08,Phoenix Suns,110,Orlando Magic,115,ORL,PHO,https://www.basketball-reference.com/boxscores/202412080ORL.html,Orlando Magic,Phoenix Suns,Home,5
344,2024-12-08,New Orleans Pelicans,116,San Antonio Spurs,121,SAS,NOP,https://www.basketball-reference.com/boxscores/202412080SAS.html,New Orleans Pelicans,San Antonio Spurs,Home,5
345,2024-12-08,Memphis Grizzlies,140,Washington Wizards,112,WAS,MEM,https://www.basketball-reference.com/boxscores/202412080WAS.html,Memphis Grizzlies,Washington Wizards,Away,-28
346,2024-12-08,Minnesota Timberwolves,106,Golden State Warriors,114,GSW,MIN,https://www.basketball-reference.com/boxscores/202412080GSW.html,Golden State Warriors,Minnesota Timberwolves,Home,8
347,2024-12-08,Houston Rockets,117,Los Angeles Clippers,106,LAC,HOU,https://www.basketball-reference.com/boxscores/202412080LAC.html,Houston Rockets,Los Angeles Clippers,Away,-11
348,2024-12-08,Utah Jazz,97,Sacramento Kings,141,SAC,UTA,https://www.basketball-reference.com/boxscores/202412080SAC.html,Sacramento Kings,Utah Jazz,Home,44
349,2024-12-08,Portland Trail Blazers,98,Los Angeles Lakers,107,LAL,POR,https://www.basketball-reference.com/boxscores/202412080LAL.html,Los Angeles Lakers,Portland Trail Blazers,Home,9
350,2024-12-09,New York Knicks,113,Toronto Raptors,108,TOR,NYK,https://www.basketball-reference.com/boxscores/202412090TOR.html,New York Knicks,Toronto Raptors,Away,-5
351,2024-12-10,Orlando Magic,109,Milwaukee Bucks,114,MIL,ORL,https://www.basketball-reference.com/boxscores/202412100MIL.html,Milwaukee Bucks,Orlando Magic,Home,5
352,2024-12-10,Dallas Mavericks,104,Oklahoma City Thunder,118,OKC,DAL,https://www.basketball-reference.com/boxscores/202412100OKC.html,Dallas Mavericks,Oklahoma City Thunder,Home,14
353,2024-12-11,Atlanta Hawks,108,New York Knicks,100,NYK,ATL,https://www.basketball-reference.com/boxscores/202412110NYK.html,Atlanta Hawks,New York Knicks,Away,-8
354,2024-12-11,Golden State Warriors,90,Houston Rockets,91,HOU,GSW,https://www.basketball-reference.com/boxscores/202412110HOU.html,Golden State Warriors,Houston Rockets,Home,1
355,2024-12-12,Detroit Pistons,99,Boston Celtics,123,BOS,DET,https://www.basketball-reference.com/boxscores/202412120BOS.html,Boston Celtics,Detroit Pistons,Home,24
356,2024-12-12,Toronto Raptors,104,Miami Heat,114,MIA,TOR,https://www.basketball-reference.com/boxscores/202412120MIA.html,Miami Heat,Toronto Raptors,Home,10
357,2024-12-12,Sacramento Kings,111,New Orleans Pelicans,109,NOP,SAC,https://www.basketball-reference.com/boxscores/202412120NOP.html,New Orleans Pelicans,Sacramento Kings,Away,-2
358,2024-12-13,Washington Wizards,105,Cleveland Cavaliers,115,CLE,WAS,https://www.basketball-reference.com/boxscores/202412130CLE.html,Cleveland Cavaliers,Washington Wizards,Home,10
359,2024-12-13,Indiana Pacers,121,Philadelphia 76ers,107,PHI,IND,https://www.basketball-reference.com/boxscores/202412130PHI.html,Indiana Pacers,Philadelphia 76ers,Away,-14
360,2024-12-13,Charlotte Hornets,95,Chicago Bulls,109,CHI,CHO,https://www.basketball-reference.com/boxscores/202412130CHI.html,Charlotte Hornets,Chicago Bulls,Home,14
361,2024-12-13,Brooklyn Nets,119,Memphis Grizzlies,135,MEM,BRK,https://www.basketball-reference.com/boxscores/202412130MEM.html,Brooklyn Nets,Memphis Grizzlies,Home,16
362,2024-12-13,Los Angeles Lakers,87,Minnesota Timberwolves,97,MIN,LAL,https://www.basketball-reference.com/boxscores/202412130MIN.html,Los Angeles Lakers,Minnesota Timberwolves,Home,10
363,2024-12-13,Los Angeles Clippers,98,Denver Nuggets,120,DEN,LAC,https://www.basketball-reference.com/boxscores/202412130DEN.html,Denver Nuggets,Los Angeles Clippers,Home,22
364,2024-12-13,Phoenix Suns,134,Utah Jazz,126,UTA,PHO,https://www.basketball-reference.com/boxscores/202412130UTA.html,Phoenix Suns,Utah Jazz,Away,-8
365,2024-12-13,San Antonio Spurs,118,Portland Trail Blazers,116,POR,SAS,https://www.basketball-reference.com/boxscores/202412130POR.html,Portland Trail Blazers,San Antonio Spurs,Away,-2
366,2024-12-14,Atlanta Hawks,102,Milwaukee Bucks,110,MIL,ATL,https://www.basketball-reference.com/boxscores/202412140MIL.html,Atlanta Hawks,Milwaukee Bucks,Home,8
367,2024-12-14,Houston Rockets,96,Oklahoma City Thunder,111,OKC,HOU,https://www.basketball-reference.com/boxscores/202412140OKC.html,Houston Rockets,Oklahoma City Thunder,Home,15
368,2024-12-15,New Orleans Pelicans,104,Indiana Pacers,119,IND,NOP,https://www.basketball-reference.com/boxscores/202412150IND.html,Indiana Pacers,New Orleans Pelicans,Home,15
369,2024-12-15,New York Knicks,100,Orlando Magic,91,ORL,NYK,https://www.basketball-reference.com/boxscores/202412150ORL.html,New York Knicks,Orlando Magic,Away,-9
370,2024-12-15,Boston Celtics,112,Washington Wizards,98,WAS,BOS,https://www.basketball-reference.com/boxscores/202412150WAS.html,Boston Celtics,Washington Wizards,Away,-14
371,2024-12-15,Minnesota Timberwolves,106,San Antonio Spurs,92,SAS,MIN,https://www.basketball-reference.com/boxscores/202412150SAS.html,Minnesota Timberwolves,San Antonio Spurs,Away,-14
372,2024-12-15,Portland Trail Blazers,109,Phoenix Suns,116,PHO,POR,https://www.basketball-reference.com/boxscores/202412150PHO.html,Phoenix Suns,Portland Trail Blazers,Home,7
373,2024-12-15,Dallas Mavericks,143,Golden State Warriors,133,GSW,DAL,https://www.basketball-reference.com/boxscores/202412150GSW.html,Dallas Mavericks,Golden State Warriors,Away,-10
374,2024-12-15,Memphis Grizzlies,110,Los Angeles Lakers,116,LAL,MEM,https://www.basketball-reference.com/boxscores/202412150LAL.html,Los Angeles Lakers,Memphis Grizzlies,Home,6
375,2024-12-16,Philadelphia 76ers,121,Charlotte Hornets,108,CHO,PHI,https://www.basketball-reference.com/boxscores/202412160CHO.html,Charlotte Hornets,Philadelphia 76ers,Away,-13
376,2024-12-16,Miami Heat,124,Detroit Pistons,125,DET,MIA,https://www.basketball-reference.com/boxscores/202412160DET.html,Detroit Pistons,Miami Heat,Home,1
377,2024-12-16,Cleveland Cavaliers,130,Brooklyn Nets,101,BRK,CLE,https://www.basketball-reference.com/boxscores/202412160BRK.html,Brooklyn Nets,Cleveland Cavaliers,Away,-29
378,2024-12-16,Chicago Bulls,122,Toronto Raptors,121,TOR,CHI,https://www.basketball-reference.com/boxscores/202412160TOR.html,Chicago Bulls,Toronto Raptors,Away,-1
379,2024-12-16,Denver Nuggets,130,Sacramento Kings,129,SAC,DEN,https://www.basketball-reference.com/boxscores/202412160SAC.html,Denver Nuggets,Sacramento Kings,Away,-1
380,2024-12-16,Utah Jazz,107,Los Angeles Clippers,144,LAC,UTA,https://www.basketball-reference.com/boxscores/202412160LAC.html,Los Angeles Clippers,Utah Jazz,Home,37
381,2024-12-17,Milwaukee Bucks,97,Oklahoma City Thunder,81,OKC,MIL,https://www.basketball-reference.com/boxscores/202412170OKC.html,Milwaukee Bucks,Oklahoma City Thunder,Away,-16
382,2024-12-19,Utah Jazz,126,Detroit Pistons,119,DET,UTA,https://www.basketball-reference.com/boxscores/202412190DET.html,Detroit Pistons,Utah Jazz,Away,-7
383,2024-12-19,Oklahoma City Thunder,105,Orlando Magic,99,ORL,OKC,https://www.basketball-reference.com/boxscores/202412190ORL.html,Oklahoma City Thunder,Orlando Magic,Away,-6
384,2024-12-19,Charlotte Hornets,114,Washington Wizards,123,WAS,CHO,https://www.basketball-reference.com/boxscores/202412190WAS.html,Charlotte Hornets,Washington Wizards,Home,9
385,2024-12-19,Chicago Bulls,117,Boston Celtics,108,BOS,CHI,https://www.basketball-reference.com/boxscores/202412190BOS.html,Boston Celtics,Chicago Bulls,Away,-9
386,2024-12-19,Brooklyn Nets,101,Toronto Raptors,94,TOR,BRK,https://www.basketball-reference.com/boxscores/202412190TOR.html,Brooklyn Nets,Toronto Raptors,Away,-7
387,2024-12-19,New Orleans Pelicans,113,Houston Rockets,133,HOU,NOP,https://www.basketball-reference.com/boxscores/202412190HOU.html,Houston Rockets,New Orleans Pelicans,Home,20
388,2024-12-19,Golden State Warriors,93,Memphis Grizzlies,144,MEM,GSW,https://www.basketball-reference.com/boxscores/202412190MEM.html,Golden State Warriors,Memphis Grizzlies,Home,51
389,2024-12-19,Atlanta Hawks,126,San Antonio Spurs,133,SAS,ATL,https://www.basketball-reference.com/boxscores/202412190SAS.html,Atlanta Hawks,San Antonio Spurs,Home,7
390,2024-12-19,Los Angeles Clippers,118,Dallas Mavericks,95,DAL,LAC,https://www.basketball-reference.com/boxscores/202412190DAL.html,Dallas Mavericks,Los Angeles Clippers,Away,-23
391,2024-12-19,Indiana Pacers,120,Phoenix Suns,111,PHO,IND,https://www.basketball-reference.com/boxscores/202412190PHO.html,Indiana Pacers,Phoenix Suns,Away,-9
392,2024-12-19,New York Knicks,133,Minnesota Timberwolves,107,MIN,NYK,https://www.basketball-reference.com/boxscores/202412190MIN.html,Minnesota Timberwolves,New York Knicks,Away,-26
393,2024-12-19,Denver Nuggets,124,Portland Trail Blazers,126,POR,DEN,https://www.basketball-reference.com/boxscores/202412190POR.html,Denver Nuggets,Portland Trail Blazers,Home,2
394,2024-12-19,Los Angeles Lakers,113,Sacramento Kings,100,SAC,LAL,https://www.basketball-reference.com/boxscores/202412190SAC.html,Los Angeles Lakers,Sacramento Kings,Away,-13
395,2024-12-20,Charlotte Hornets,98,Philadelphia 76ers,108,PHI,CHO,https://www.basketball-reference.com/boxscores/202412200PHI.html,Charlotte Hornets,Philadelphia 76ers,Home,10
396,2024-12-20,Milwaukee Bucks,101,Cleveland Cavaliers,124,CLE,MIL,https://www.basketball-reference.com/boxscores/202412200CLE.html,Cleveland Cavaliers,Milwaukee Bucks,Home,23
397,2024-12-20,Oklahoma City Thunder,104,Miami Heat,97,MIA,OKC,https://www.basketball-reference.com/boxscores/202412200MIA.html,Miami Heat,Oklahoma City Thunder,Away,-7
398,2024-12-21,Los Angeles Lakers,103,Sacramento Kings,99,SAC,LAL,https://www.basketball-reference.com/boxscores/202412210SAC.html,Los Angeles Lakers,Sacramento Kings,Away,-4
399,2024-12-21,Miami Heat,114,Orlando Magic,121,ORL,MIA,https://www.basketball-reference.com/boxscores/202412210ORL.html,Miami Heat,Orlando Magic,Home,7
400,2024-12-21,Memphis Grizzlies,128,Atlanta Hawks,112,ATL,MEM,https://www.basketball-reference.com/boxscores/202412210ATL.html,Atlanta Hawks,Memphis Grizzlies,Away,-16
401,2024-12-21,Utah Jazz,105,Brooklyn Nets,94,BRK,UTA,https://www.basketball-reference.com/boxscores/202412210BRK.html,Brooklyn Nets,Utah Jazz,Away,-11
402,2024-12-21,Boston Celtics,123,Chicago Bulls,98,CHI,BOS,https://www.basketball-reference.com/boxscores/202412210CHI.html,Boston Celtics,Chicago Bulls,Away,-25
403,2024-12-21,Philadelphia 76ers,99,Cleveland Cavaliers,126,CLE,PHI,https://www.basketball-reference.com/boxscores/202412210CLE.html,Cleveland Cavaliers,Philadelphia 76ers,Home,27
404,2024-12-21,Washington Wizards,101,Milwaukee Bucks,112,MIL,WAS,https://www.basketball-reference.com/boxscores/202412210MIL.html,Milwaukee Bucks,Washington Wizards,Home,11
405,2024-12-21,Golden State Warriors,113,Minnesota Timberwolves,103,MIN,GSW,https://www.basketball-reference.com/boxscores/202412210MIN.html,Golden State Warriors,Minnesota Timberwolves,Away,-10
406,2024-12-21,New York Knicks,104,New Orleans Pelicans,93,NOP,NYK,https://www.basketball-reference.com/boxscores/202412210NOP.html,New Orleans Pelicans,New York Knicks,Away,-11
407,2024-12-21,Los Angeles Clippers,97,Dallas Mavericks,113,DAL,LAC,https://www.basketball-reference.com/boxscores/202412210DAL.html,Dallas Mavericks,Los Angeles Clippers,Home,16
408,2024-12-21,Portland Trail Blazers,94,San Antonio Spurs,114,SAS,POR,https://www.basketball-reference.com/boxscores/202412210SAS.html,Portland Trail Blazers,San Antonio Spurs,Home,20
409,2024-12-21,Detroit Pistons,133,Phoenix Suns,125,PHO,DET,https://www.basketball-reference.com/boxscores/202412210PHO.html,Detroit Pistons,Phoenix Suns,Away,-8
410,2024-12-22,Indiana Pacers,122,Sacramento Kings,95,SAC,IND,https://www.basketball-reference.com/boxscores/202412220SAC.html,Indiana Pacers,Sacramento Kings,Away,-27
411,2024-12-22,Houston Rockets,114,Toronto Raptors,110,TOR,HOU,https://www.basketball-reference.com/boxscores/202412220TOR.html,Houston Rockets,Toronto Raptors,Away,-4
412,2024-12-22,Denver Nuggets,132,New Orleans Pelicans,129,NOP,DEN,https://www.basketball-reference.com/boxscores/202412220NOP.html,Denver Nuggets,New Orleans Pelicans,Away,-3
413,2024-12-23,Houston Rockets,114,Charlotte Hornets,101,CHO,HOU,https://www.basketball-reference.com/boxscores/202412230CHO.html,Charlotte Hornets,Houston Rockets,Away,-13
414,2024-12-23,Utah Jazz,113,Cleveland Cavaliers,124,CLE,UTA,https://www.basketball-reference.com/boxscores/202412230CLE.html,Cleveland Cavaliers,Utah Jazz,Home,11
415,2024-12-23,Boston Celtics,104,Orlando Magic,108,ORL,BOS,https://www.basketball-reference.com/boxscores/202412230ORL.html,Boston Celtics,Orlando Magic,Home,4
416,2024-12-23,San Antonio Spurs,106,Philadelphia 76ers,111,PHI,SAS,https://www.basketball-reference.com/boxscores/202412230PHI.html,Philadelphia 76ers,San Antonio Spurs,Home,5
417,2024-12-23,Minnesota Timberwolves,104,Atlanta Hawks,117,ATL,MIN,https://www.basketball-reference.com/boxscores/202412230ATL.html,Atlanta Hawks,Minnesota Timberwolves,Home,13
418,2024-12-23,Brooklyn Nets,95,Miami Heat,110,MIA,BRK,https://www.basketball-reference.com/boxscores/202412230MIA.html,Brooklyn Nets,Miami Heat,Home,15
