,Date,Away,AwayPoints,Home,HomePoints
10,2024-12-02,New Orleans Pelicans,,Atlanta Hawks,
11,2024-12-02,Miami Heat,,Boston Celtics,
12,2024-12-02,Brooklyn Nets,,Chicago Bulls,
13,2024-12-02,Los Angeles Lakers,,Minnesota Timberwolves,
14,2024-12-03,Philadelphia 76ers,,Charlotte Hornets,
15,2024-12-03,Washington Wizards,,Cleveland Cavaliers,
16,2024-12-03,Milwaukee Bucks,,Detroit Pistons,
17,2024-12-03,Orlando Magic,,New York Knicks,
18,2024-12-03,Indiana Pacers,,Toronto Raptors,
19,2024-12-03,Utah Jazz,,Oklahoma City Thunder,
20,2024-12-03,Memphis Grizzlies,,Dallas Mavericks,
21,2024-12-03,San Antonio Spurs,,Phoenix Suns,
22,2024-12-03,Golden State Warriors,,Denver Nuggets,
23,2024-12-03,Houston Rockets,,Sacramento Kings,
24,2024-12-03,Portland Trail Blazers,,Los Angeles Clippers,
25,2024-12-04,Detroit Pistons,,Boston Celtics,
26,2024-12-04,Indiana Pacers,,Brooklyn Nets,
27,2024-12-04,Los Angeles Lakers,,Miami Heat,
28,2024-12-04,Orlando Magic,,Philadelphia 76ers,
29,2024-12-04,Atlanta Hawks,,Milwaukee Bucks,
30,2024-12-04,Minnesota Timberwolves,,Los Angeles Clippers,
31,2024-12-05,Denver Nuggets,,Cleveland Cavaliers,
32,2024-12-05,Dallas Mavericks,,Washington Wizards,
33,2024-12-05,Charlotte Hornets,,New York Knicks,
34,2024-12-05,Oklahoma City Thunder,,Toronto Raptors,
35,2024-12-05,Sacramento Kings,,Memphis Grizzlies,
36,2024-12-05,Phoenix Suns,,New Orleans Pelicans,
37,2024-12-05,Chicago Bulls,,San Antonio Spurs,
38,2024-12-05,Houston Rockets,,Golden State Warriors,
39,2024-12-06,Orlando Magic,,Philadelphia 76ers,
40,2024-12-06,Los Angeles Lakers,,Atlanta Hawks,
41,2024-12-06,Milwaukee Bucks,,Boston Celtics,
42,2024-12-06,Indiana Pacers,,Chicago Bulls,
43,2024-12-06,Sacramento Kings,,San Antonio Spurs,
44,2024-12-06,Minnesota Timberwolves,,Golden State Warriors,
45,2024-12-06,Utah Jazz,,Portland Trail Blazers,
46,2024-12-07,Cleveland Cavaliers,,Charlotte Hornets,
47,2024-12-07,Oklahoma City Thunder,,New Orleans Pelicans,
48,2024-12-07,Denver Nuggets,,Washington Wizards,
49,2024-12-07,Detroit Pistons,,New York Knicks,
50,2024-12-07,Dallas Mavericks,,Toronto Raptors,
51,2024-12-07,Memphis Grizzlies,,Boston Celtics,
52,2024-12-07,Phoenix Suns,,Miami Heat,
53,2024-12-08,Philadelphia 76ers,,Chicago Bulls,
54,2024-12-08,Milwaukee Bucks,,Brooklyn Nets,
55,2024-12-08,Charlotte Hornets,,Indiana Pacers,
56,2024-12-08,Denver Nuggets,,Atlanta Hawks,
57,2024-12-08,Cleveland Cavaliers,,Miami Heat,
58,2024-12-08,Phoenix Suns,,Orlando Magic,
59,2024-12-08,New Orleans Pelicans,,San Antonio Spurs,
60,2024-12-08,Memphis Grizzlies,,Washington Wizards,
61,2024-12-08,Minnesota Timberwolves,,Golden State Warriors,
62,2024-12-08,Houston Rockets,,Los Angeles Clippers,
63,2024-12-08,Utah Jazz,,Sacramento Kings,
64,2024-12-08,Portland Trail Blazers,,Los Angeles Lakers,
65,2024-12-09,New York Knicks,,Toronto Raptors,
66,2024-12-19,Utah Jazz,,Detroit Pistons,
67,2024-12-19,Oklahoma City Thunder,,Orlando Magic,
68,2024-12-19,Charlotte Hornets,,Washington Wizards,
69,2024-12-19,Chicago Bulls,,Boston Celtics,
70,2024-12-19,Brooklyn Nets,,Toronto Raptors,
71,2024-12-19,New Orleans Pelicans,,Houston Rockets,
72,2024-12-19,Golden State Warriors,,Memphis Grizzlies,
73,2024-12-19,Atlanta Hawks,,San Antonio Spurs,
74,2024-12-19,Los Angeles Clippers,,Dallas Mavericks,
75,2024-12-19,Indiana Pacers,,Phoenix Suns,
76,2024-12-19,New York Knicks,,Minnesota Timberwolves,
77,2024-12-19,Denver Nuggets,,Portland Trail Blazers,
78,2024-12-19,Los Angeles Lakers,,Sacramento Kings,
79,2024-12-20,Charlotte Hornets,,Philadelphia 76ers,
80,2024-12-20,Milwaukee Bucks,,Cleveland Cavaliers,
81,2024-12-20,Oklahoma City Thunder,,Miami Heat,
82,2024-12-21,Los Angeles Lakers,,Sacramento Kings,
83,2024-12-21,Miami Heat,,Orlando Magic,
84,2024-12-21,Memphis Grizzlies,,Atlanta Hawks,
85,2024-12-21,Utah Jazz,,Brooklyn Nets,
86,2024-12-21,Boston Celtics,,Chicago Bulls,
87,2024-12-21,Philadelphia 76ers,,Cleveland Cavaliers,
88,2024-12-21,Washington Wizards,,Milwaukee Bucks,
89,2024-12-21,Golden State Warriors,,Minnesota Timberwolves,
90,2024-12-21,New York Knicks,,New Orleans Pelicans,
91,2024-12-21,Los Angeles Clippers,,Dallas Mavericks,
92,2024-12-21,Portland Trail Blazers,,San Antonio Spurs,
93,2024-12-21,Detroit Pistons,,Phoenix Suns,
94,2024-12-22,Indiana Pacers,,Sacramento Kings,
95,2024-12-22,Houston Rockets,,Toronto Raptors,
96,2024-12-22,Denver Nuggets,,New Orleans Pelicans,
97,2024-12-23,Houston Rockets,,Charlotte Hornets,
98,2024-12-23,Utah Jazz,,Cleveland Cavaliers,
99,2024-12-23,Boston Celtics,,Orlando Magic,
100,2024-12-23,San Antonio Spurs,,Philadelphia 76ers,
101,2024-12-23,Minnesota Timberwolves,,Atlanta Hawks,
102,2024-12-23,Brooklyn Nets,,Miami Heat,
103,2024-12-23,Toronto Raptors,,New York Knicks,
104,2024-12-23,Milwaukee Bucks,,Chicago Bulls,
105,2024-12-23,Los Angeles Clippers,,Memphis Grizzlies,
106,2024-12-23,Washington Wizards,,Oklahoma City Thunder,
107,2024-12-23,Portland Trail Blazers,,Dallas Mavericks,
108,2024-12-23,Phoenix Suns,,Denver Nuggets,
109,2024-12-23,Indiana Pacers,,Golden State Warriors,
110,2024-12-23,Detroit Pistons,,Los Angeles Lakers,
111,2024-12-25,San Antonio Spurs,,New York Knicks,
112,2024-12-25,Minnesota Timberwolves,,Dallas Mavericks,
113,2024-12-25,Philadelphia 76ers,,Boston Celtics,
114,2024-12-25,Los Angeles Lakers,,Golden State Warriors,
115,2024-12-25,Denver Nuggets,,Phoenix Suns,
116,2024-12-26,Oklahoma City Thunder,,Indiana Pacers,
117,2024-12-26,Miami Heat,,Orlando Magic,
118,2024-12-26,Charlotte Hornets,,Washington Wizards,
119,2024-12-26,Chicago Bulls,,Atlanta Hawks,
120,2024-12-26,Toronto Raptors,,Memphis Grizzlies,
121,2024-12-26,Brooklyn Nets,,Milwaukee Bucks,
122,2024-12-26,Houston Rockets,,New Orleans Pelicans,
123,2024-12-26,Utah Jazz,,Portland Trail Blazers,
124,2024-12-26,Detroit Pistons,,Sacramento Kings,
125,2024-12-27,New York Knicks,,Orlando Magic,
126,2024-12-27,Indiana Pacers,,Boston Celtics,
127,2024-12-27,San Antonio Spurs,,Brooklyn Nets,
128,2024-12-27,Minnesota Timberwolves,,Houston Rockets,
129,2024-12-27,Memphis Grizzlies,,New Orleans Pelicans,
130,2024-12-27,Cleveland Cavaliers,,Denver Nuggets,
131,2024-12-27,Dallas Mavericks,,Phoenix Suns,
132,2024-12-27,Golden State Warriors,,Los Angeles Clippers,
133,2024-12-28,Miami Heat,,Atlanta Hawks,
134,2024-12-28,Oklahoma City Thunder,,Charlotte Hornets,
135,2024-12-28,New York Knicks,,Washington Wizards,
136,2024-12-28,Milwaukee Bucks,,Chicago Bulls,
137,2024-12-28,Phoenix Suns,,Golden State Warriors,
138,2024-12-28,Detroit Pistons,,Denver Nuggets,
139,2024-12-28,Philadelphia 76ers,,Utah Jazz,
140,2024-12-28,Dallas Mavericks,,Portland Trail Blazers,
141,2024-12-28,Sacramento Kings,,Los Angeles Lakers,
142,2024-12-29,Brooklyn Nets,,Orlando Magic,
143,2024-12-29,Indiana Pacers,,Boston Celtics,
144,2024-12-29,Atlanta Hawks,,Toronto Raptors,
145,2024-12-29,Miami Heat,,Houston Rockets,
146,2024-12-29,Memphis Grizzlies,,Oklahoma City Thunder,
147,2024-12-29,San Antonio Spurs,,Minnesota Timberwolves,
148,2024-12-30,Chicago Bulls,,Charlotte Hornets,
149,2024-12-30,New York Knicks,,Washington Wizards,
150,2024-12-30,Los Angeles Clippers,,New Orleans Pelicans,
151,2024-12-30,Denver Nuggets,,Utah Jazz,
152,2024-12-30,Cleveland Cavaliers,,Golden State Warriors,
153,2024-12-30,Philadelphia 76ers,,Portland Trail Blazers,
154,2024-12-30,Dallas Mavericks,,Sacramento Kings,
155,2024-12-31,Toronto Raptors,,Boston Celtics,
156,2024-12-31,Milwaukee Bucks,,Indiana Pacers,
157,2024-12-31,Los Angeles Clippers,,San Antonio Spurs,
158,2024-12-31,Minnesota Timberwolves,,Oklahoma City Thunder,
159,2024-12-31,Cleveland Cavaliers,,Los Angeles Lakers,
160,2024-12-31,Memphis Grizzlies,,Phoenix Suns,
0,2025-01-01,Orlando Magic,,Detroit Pistons,
1,2025-01-01,Chicago Bulls,,Washington Wizards,
2,2025-01-01,New Orleans Pelicans,,Miami Heat,
3,2025-01-01,Utah Jazz,,New York Knicks,
4,2025-01-01,Brooklyn Nets,,Toronto Raptors,
5,2025-01-01,Dallas Mavericks,,Houston Rockets,
6,2025-01-01,Atlanta Hawks,,Denver Nuggets,
7,2025-01-01,Philadelphia 76ers,,Sacramento Kings,
8,2025-01-02,Indiana Pacers,,Miami Heat,
9,2025-01-02,Boston Celtics,,Minnesota Timberwolves,
10,2025-01-02,Brooklyn Nets,,Milwaukee Bucks,
11,2025-01-02,Los Angeles Clippers,,Oklahoma City Thunder,
12,2025-01-02,Philadelphia 76ers,,Golden State Warriors,
13,2025-01-02,Portland Trail Blazers,,Los Angeles Lakers,
14,2025-01-03,Charlotte Hornets,,Detroit Pistons,
15,2025-01-03,Orlando Magic,,Toronto Raptors,
16,2025-01-03,Boston Celtics,,Houston Rockets,
17,2025-01-03,Washington Wizards,,New Orleans Pelicans,
18,2025-01-03,New York Knicks,,Oklahoma City Thunder,
19,2025-01-03,Cleveland Cavaliers,,Dallas Mavericks,
20,2025-01-03,San Antonio Spurs,,Denver Nuggets,
21,2025-01-03,Memphis Grizzlies,,Sacramento Kings,
22,2025-01-03,Atlanta Hawks,,Los Angeles Lakers,
23,2025-01-04,Philadelphia 76ers,,Brooklyn Nets,
24,2025-01-04,Minnesota Timberwolves,,Detroit Pistons,
25,2025-01-04,Phoenix Suns,,Indiana Pacers,
26,2025-01-04,New York Knicks,,Chicago Bulls,
27,2025-01-04,Utah Jazz,,Miami Heat,
28,2025-01-04,Portland Trail Blazers,,Milwaukee Bucks,
29,2025-01-04,Denver Nuggets,,San Antonio Spurs,
30,2025-01-04,Memphis Grizzlies,,Golden State Warriors,
31,2025-01-04,Atlanta Hawks,,Los Angeles Clippers,
32,2025-01-05,Boston Celtics,,Oklahoma City Thunder,
33,2025-01-05,Charlotte Hornets,,Cleveland Cavaliers,
34,2025-01-05,New Orleans Pelicans,,Washington Wizards,
35,2025-01-05,Utah Jazz,,Orlando Magic,
36,2025-01-05,Los Angeles Lakers,,Houston Rockets,
37,2025-01-05,Sacramento Kings,,Golden State Warriors,
38,2025-01-06,Portland Trail Blazers,,Detroit Pistons,
39,2025-01-06,Phoenix Suns,,Philadelphia 76ers,
40,2025-01-06,Indiana Pacers,,Brooklyn Nets,
41,2025-01-06,Orlando Magic,,New York Knicks,
42,2025-01-06,Milwaukee Bucks,,Toronto Raptors,
43,2025-01-06,San Antonio Spurs,,Chicago Bulls,
44,2025-01-06,Dallas Mavericks,,Memphis Grizzlies,
45,2025-01-06,Los Angeles Clippers,,Minnesota Timberwolves,
46,2025-01-06,Miami Heat,,Sacramento Kings,
47,2025-01-07,Phoenix Suns,,Charlotte Hornets,
48,2025-01-07,Houston Rockets,,Washington Wizards,
49,2025-01-07,Los Angeles Lakers,,Dallas Mavericks,
50,2025-01-07,Minnesota Timberwolves,,New Orleans Pelicans,
51,2025-01-07,Atlanta Hawks,,Utah Jazz,
52,2025-01-07,Boston Celtics,,Denver Nuggets,
53,2025-01-07,Miami Heat,,Golden State Warriors,
54,2025-01-08,Oklahoma City Thunder,,Cleveland Cavaliers,
55,2025-01-08,Chicago Bulls,,Indiana Pacers,
56,2025-01-08,Toronto Raptors,,New York Knicks,
57,2025-01-08,Washington Wizards,,Philadelphia 76ers,
58,2025-01-08,Detroit Pistons,,Brooklyn Nets,
59,2025-01-08,Portland Trail Blazers,,New Orleans Pelicans,
60,2025-01-08,Los Angeles Clippers,,Denver Nuggets,
61,2025-01-08,San Antonio Spurs,,Milwaukee Bucks,
62,2025-01-09,Toronto Raptors,,Cleveland Cavaliers,
63,2025-01-09,Golden State Warriors,,Detroit Pistons,
64,2025-01-09,Minnesota Timberwolves,,Orlando Magic,
65,2025-01-09,Houston Rockets,,Memphis Grizzlies,
66,2025-01-09,Portland Trail Blazers,,Dallas Mavericks,
67,2025-01-09,Atlanta Hawks,,Phoenix Suns,
68,2025-01-09,Miami Heat,,Utah Jazz,
69,2025-01-09,Charlotte Hornets,,Los Angeles Lakers,
70,2025-01-10,Golden State Warriors,,Indiana Pacers,
71,2025-01-10,Milwaukee Bucks,,Orlando Magic,
72,2025-01-10,New Orleans Pelicans,,Philadelphia 76ers,
73,2025-01-10,Sacramento Kings,,Boston Celtics,
74,2025-01-10,Oklahoma City Thunder,,New York Knicks,
75,2025-01-10,Washington Wizards,,Chicago Bulls,
76,2025-01-10,Brooklyn Nets,,Denver Nuggets,
77,2025-01-11,Houston Rockets,,Atlanta Hawks,
78,2025-01-11,Utah Jazz,,Phoenix Suns,
79,2025-01-11,Toronto Raptors,,Detroit Pistons,
80,2025-01-11,Memphis Grizzlies,,Minnesota Timberwolves,
81,2025-01-11,Miami Heat,,Portland Trail Blazers,
82,2025-01-11,Charlotte Hornets,,Los Angeles Clippers,
83,2025-01-11,San Antonio Spurs,,Los Angeles Lakers,
84,2025-01-12,Denver Nuggets,,Dallas Mavericks,
85,2025-01-12,Milwaukee Bucks,,New York Knicks,
86,2025-01-12,Sacramento Kings,,Chicago Bulls,
87,2025-01-12,New Orleans Pelicans,,Boston Celtics,
88,2025-01-12,Indiana Pacers,,Cleveland Cavaliers,
89,2025-01-12,Philadelphia 76ers,,Orlando Magic,
90,2025-01-12,Oklahoma City Thunder,,Washington Wizards,
91,2025-01-12,Brooklyn Nets,,Utah Jazz,
92,2025-01-12,Charlotte Hornets,,Phoenix Suns,
93,2025-01-13,Minnesota Timberwolves,,Washington Wizards,
94,2025-01-13,Detroit Pistons,,New York Knicks,
95,2025-01-13,Golden State Warriors,,Toronto Raptors,
96,2025-01-13,Memphis Grizzlies,,Houston Rockets,
97,2025-01-13,Miami Heat,,Los Angeles Clippers,
98,2025-01-13,San Antonio Spurs,,Los Angeles Lakers,
99,2025-01-14,Cleveland Cavaliers,,Indiana Pacers,
100,2025-01-14,Oklahoma City Thunder,,Philadelphia 76ers,
101,2025-01-14,Phoenix Suns,,Atlanta Hawks,
102,2025-01-14,New Orleans Pelicans,,Chicago Bulls,
103,2025-01-14,Sacramento Kings,,Milwaukee Bucks,
104,2025-01-14,Denver Nuggets,,Dallas Mavericks,
105,2025-01-14,Brooklyn Nets,,Portland Trail Blazers,
106,2025-01-15,New York Knicks,,Philadelphia 76ers,
107,2025-01-15,Boston Celtics,,Toronto Raptors,
108,2025-01-15,Atlanta Hawks,,Chicago Bulls,
109,2025-01-15,Orlando Magic,,Milwaukee Bucks,
110,2025-01-15,Golden State Warriors,,Minnesota Timberwolves,
111,2025-01-15,Dallas Mavericks,,New Orleans Pelicans,
112,2025-01-15,Memphis Grizzlies,,San Antonio Spurs,
113,2025-01-15,Houston Rockets,,Denver Nuggets,
114,2025-01-15,Charlotte Hornets,,Utah Jazz,
115,2025-01-15,Miami Heat,,Los Angeles Lakers,
116,2025-01-15,Brooklyn Nets,,Los Angeles Clippers,
117,2025-01-16,Indiana Pacers,,Detroit Pistons,
118,2025-01-16,Phoenix Suns,,Washington Wizards,
119,2025-01-16,Cleveland Cavaliers,,Oklahoma City Thunder,
120,2025-01-16,Los Angeles Clippers,,Portland Trail Blazers,
121,2025-01-16,Houston Rockets,,Sacramento Kings,
122,2025-01-17,Orlando Magic,,Boston Celtics,
123,2025-01-17,Minnesota Timberwolves,,New York Knicks,
124,2025-01-17,Denver Nuggets,,Miami Heat,
125,2025-01-17,Toronto Raptors,,Milwaukee Bucks,
126,2025-01-17,Utah Jazz,,New Orleans Pelicans,
127,2025-01-17,Memphis Grizzlies,,San Antonio Spurs,
128,2025-01-17,Oklahoma City Thunder,,Dallas Mavericks,
129,2025-01-17,Charlotte Hornets,,Chicago Bulls,
130,2025-01-17,Brooklyn Nets,,Los Angeles Lakers,
131,2025-01-18,Phoenix Suns,,Detroit Pistons,
132,2025-01-18,Atlanta Hawks,,Boston Celtics,
133,2025-01-18,Philadelphia 76ers,,Indiana Pacers,
134,2025-01-18,Washington Wizards,,Golden State Warriors,
135,2025-01-18,Cleveland Cavaliers,,Minnesota Timberwolves,
136,2025-01-18,Houston Rockets,,Portland Trail Blazers,
137,2025-01-19,San Antonio Spurs,,Miami Heat,
138,2025-01-19,Denver Nuggets,,Orlando Magic,
139,2025-01-19,Philadelphia 76ers,,Milwaukee Bucks,
140,2025-01-19,Brooklyn Nets,,Oklahoma City Thunder,
141,2025-01-19,Los Angeles Lakers,,Los Angeles Clippers,
142,2025-01-19,Chicago Bulls,,Portland Trail Blazers,
143,2025-01-19,Washington Wizards,,Sacramento Kings,
144,2025-01-20,Dallas Mavericks,,Charlotte Hornets,
145,2025-01-20,Detroit Pistons,,Houston Rockets,
146,2025-01-20,Minnesota Timberwolves,,Memphis Grizzlies,
147,2025-01-20,Atlanta Hawks,,New York Knicks,
148,2025-01-20,Phoenix Suns,,Cleveland Cavaliers,
149,2025-01-20,Boston Celtics,,Golden State Warriors,
150,2025-01-20,Utah Jazz,,New Orleans Pelicans,
151,2025-01-21,New York Knicks,,Brooklyn Nets,
152,2025-01-21,Portland Trail Blazers,,Miami Heat,
153,2025-01-21,Orlando Magic,,Toronto Raptors,
154,2025-01-21,Philadelphia 76ers,,Denver Nuggets,
155,2025-01-21,Chicago Bulls,,Los Angeles Clippers,
156,2025-01-21,Washington Wizards,,Los Angeles Lakers,
157,2025-01-22,Detroit Pistons,,Atlanta Hawks,
158,2025-01-22,Phoenix Suns,,Brooklyn Nets,
159,2025-01-22,Minnesota Timberwolves,,Dallas Mavericks,
160,2025-01-22,Cleveland Cavaliers,,Houston Rockets,
161,2025-01-22,Charlotte Hornets,,Memphis Grizzlies,
162,2025-01-22,Milwaukee Bucks,,New Orleans Pelicans,
163,2025-01-22,Utah Jazz,,Oklahoma City Thunder,
164,2025-01-22,Golden State Warriors,,Sacramento Kings,
165,2025-01-22,Boston Celtics,,Los Angeles Clippers,
166,2025-01-23,San Antonio Spurs,,Indiana Pacers,
167,2025-01-23,Portland Trail Blazers,,Orlando Magic,
168,2025-01-23,Toronto Raptors,,Atlanta Hawks,
169,2025-01-23,Miami Heat,,Milwaukee Bucks,
170,2025-01-23,Dallas Mavericks,,Oklahoma City Thunder,
171,2025-01-23,Sacramento Kings,,Denver Nuggets,
172,2025-01-23,Washington Wizards,,Utah Jazz,
173,2025-01-23,Chicago Bulls,,Golden State Warriors,
174,2025-01-23,Boston Celtics,,Los Angeles Lakers,
175,2025-01-24,Portland Trail Blazers,,Charlotte Hornets,
176,2025-01-24,Cleveland Cavaliers,,Philadelphia 76ers,
177,2025-01-24,New Orleans Pelicans,,Memphis Grizzlies,
178,2025-01-25,Indiana Pacers,,San Antonio Spurs,
179,2025-01-25,Denver Nuggets,,Minnesota Timberwolves,
180,2025-01-25,Boston Celtics,,Dallas Mavericks,
181,2025-01-25,Miami Heat,,Brooklyn Nets,
182,2025-01-25,New Orleans Pelicans,,Charlotte Hornets,
183,2025-01-25,Detroit Pistons,,Orlando Magic,
184,2025-01-25,Toronto Raptors,,Atlanta Hawks,
185,2025-01-25,Houston Rockets,,Cleveland Cavaliers,
186,2025-01-25,Sacramento Kings,,New York Knicks,
187,2025-01-25,Philadelphia 76ers,,Chicago Bulls,
188,2025-01-25,Utah Jazz,,Memphis Grizzlies,
189,2025-01-25,Los Angeles Lakers,,Golden State Warriors,
190,2025-01-25,Washington Wizards,,Phoenix Suns,
191,2025-01-25,Milwaukee Bucks,,Los Angeles Clippers,
192,2025-01-26,Oklahoma City Thunder,,Portland Trail Blazers,
193,2025-01-27,Los Angeles Lakers,,Charlotte Hornets,
194,2025-01-27,Detroit Pistons,,Cleveland Cavaliers,
195,2025-01-27,Houston Rockets,,Boston Celtics,
196,2025-01-27,Sacramento Kings,,Brooklyn Nets,
197,2025-01-27,Orlando Magic,,Miami Heat,
198,2025-01-27,Memphis Grizzlies,,New York Knicks,
199,2025-01-27,New Orleans Pelicans,,Toronto Raptors,
200,2025-01-27,Denver Nuggets,,Chicago Bulls,
201,2025-01-27,Atlanta Hawks,,Minnesota Timberwolves,
202,2025-01-27,Washington Wizards,,Dallas Mavericks,
203,2025-01-27,Milwaukee Bucks,,Utah Jazz,
204,2025-01-27,Los Angeles Clippers,,Phoenix Suns,
205,2025-01-28,Los Angeles Lakers,,Philadelphia 76ers,
206,2025-01-28,Utah Jazz,,Golden State Warriors,
207,2025-01-28,Milwaukee Bucks,,Portland Trail Blazers,
208,2025-01-29,Brooklyn Nets,,Charlotte Hornets,
209,2025-01-29,Detroit Pistons,,Indiana Pacers,
210,2025-01-29,Toronto Raptors,,Washington Wizards,
211,2025-01-29,Chicago Bulls,,Boston Celtics,
212,2025-01-29,Cleveland Cavaliers,,Miami Heat,
213,2025-01-29,Denver Nuggets,,New York Knicks,
214,2025-01-29,Sacramento Kings,,Philadelphia 76ers,
215,2025-01-29,Dallas Mavericks,,New Orleans Pelicans,
216,2025-01-29,Los Angeles Clippers,,San Antonio Spurs,
217,2025-01-29,Minnesota Timberwolves,,Phoenix Suns,
218,2025-01-29,Oklahoma City Thunder,,Golden State Warriors,
219,2025-01-30,Los Angeles Lakers,,Washington Wizards,
220,2025-01-30,Atlanta Hawks,,Cleveland Cavaliers,
221,2025-01-30,Houston Rockets,,Memphis Grizzlies,
222,2025-01-30,Orlando Magic,,Portland Trail Blazers,
223,2025-01-30,Minnesota Timberwolves,,Utah Jazz,
224,2025-01-31,Los Angeles Clippers,,Charlotte Hornets,
225,2025-01-31,Dallas Mavericks,,Detroit Pistons,
226,2025-01-31,Denver Nuggets,,Philadelphia 76ers,
227,2025-01-31,Chicago Bulls,,Toronto Raptors,
228,2025-01-31,Boston Celtics,,New Orleans Pelicans,
229,2025-01-31,Milwaukee Bucks,,San Antonio Spurs,
230,2025-01-31,Phoenix Suns,,Golden State Warriors,
0,2025-02-01,Atlanta Hawks,,Indiana Pacers,
1,2025-02-01,Orlando Magic,,Utah Jazz,
2,2025-02-01,Denver Nuggets,,Charlotte Hornets,
3,2025-02-01,Brooklyn Nets,,Houston Rockets,
4,2025-02-01,Washington Wizards,,Minnesota Timberwolves,
5,2025-02-01,Sacramento Kings,,Oklahoma City Thunder,
6,2025-02-01,Los Angeles Lakers,,New York Knicks,
7,2025-02-01,Miami Heat,,San Antonio Spurs,
8,2025-02-01,Phoenix Suns,,Portland Trail Blazers,
9,2025-02-02,Chicago Bulls,,Detroit Pistons,
10,2025-02-02,Dallas Mavericks,,Cleveland Cavaliers,
11,2025-02-02,Los Angeles Clippers,,Toronto Raptors,
12,2025-02-02,Boston Celtics,,Philadelphia 76ers,
13,2025-02-02,Memphis Grizzlies,,Milwaukee Bucks,
14,2025-02-03,Washington Wizards,,Charlotte Hornets,
15,2025-02-03,Atlanta Hawks,,Detroit Pistons,
16,2025-02-03,Houston Rockets,,New York Knicks,
17,2025-02-03,San Antonio Spurs,,Memphis Grizzlies,
18,2025-02-03,Sacramento Kings,,Minnesota Timberwolves,
19,2025-02-03,Milwaukee Bucks,,Oklahoma City Thunder,
20,2025-02-03,New Orleans Pelicans,,Denver Nuggets,
21,2025-02-03,Indiana Pacers,,Utah Jazz,
22,2025-02-03,Orlando Magic,,Golden State Warriors,
23,2025-02-03,Phoenix Suns,,Portland Trail Blazers,
24,2025-02-04,Boston Celtics,,Cleveland Cavaliers,
25,2025-02-04,Houston Rockets,,Brooklyn Nets,
26,2025-02-04,Dallas Mavericks,,Philadelphia 76ers,
27,2025-02-04,New York Knicks,,Toronto Raptors,
28,2025-02-04,Miami Heat,,Chicago Bulls,
29,2025-02-04,Los Angeles Lakers,,Los Angeles Clippers,
30,2025-02-04,Indiana Pacers,,Portland Trail Blazers,
31,2025-02-05,Milwaukee Bucks,,Charlotte Hornets,
32,2025-02-05,Cleveland Cavaliers,,Detroit Pistons,
33,2025-02-05,San Antonio Spurs,,Atlanta Hawks,
34,2025-02-05,Washington Wizards,,Brooklyn Nets,
35,2025-02-05,Miami Heat,,Philadelphia 76ers,
36,2025-02-05,Memphis Grizzlies,,Toronto Raptors,
37,2025-02-05,Chicago Bulls,,Minnesota Timberwolves,
38,2025-02-05,Phoenix Suns,,Oklahoma City Thunder,
39,2025-02-05,Golden State Warriors,,Utah Jazz,
40,2025-02-05,New Orleans Pelicans,,Denver Nuggets,
41,2025-02-05,Orlando Magic,,Sacramento Kings,
42,2025-02-06,Dallas Mavericks,,Boston Celtics,
43,2025-02-06,Houston Rockets,,Minnesota Timberwolves,
44,2025-02-06,Orlando Magic,,Denver Nuggets,
45,2025-02-06,Golden State Warriors,,Los Angeles Lakers,
