Date,Team,away_basic_MP,away_basic_FG,away_basic_FGA,away_basic_FG%,away_basic_3P,away_basic_3PA,away_basic_3P%,away_basic_FT,away_basic_FTA,away_basic_FT%,away_basic_ORB,away_basic_DRB,away_basic_TRB,away_basic_AST,away_basic_STL,away_basic_BLK,away_basic_TOV,away_basic_PF,away_basic_PTS,away_advanced_MP,away_advanced_TS%,away_advanced_eFG%,away_advanced_3PAr,away_advanced_FTr,away_advanced_ORB%,away_advanced_DRB%,away_advanced_TRB%,away_advanced_AST%,away_advanced_STL%,away_advanced_BLK%,away_advanced_TOV%,away_advanced_USG%,away_advanced_ORtg,away_advanced_DRtg
2025-03-05,Detroit Pistons,240,45,86,0.523,11,35,0.314,14,19,0.737,5,29,34,27,5,2,13,20,115,240,0.609,0.587,0.407,0.221,15.6,82.9,50.7,60.0,5.2,3.6,12.1,100.0,118.8,127.1
2025-03-06,Chicago Bulls,240,43,86,0.5,15,40,0.375,24,30,0.8,13,35,48,25,5,7,19,31,125,240,0.63,0.587,0.465,0.349,35.1,79.5,59.3,58.1,4.9,13.0,16.1,100.0,121.6,119.7
2025-03-06,Indiana Pacers,240,44,91,0.484,14,39,0.359,16,17,0.941,10,32,42,27,5,5,11,18,118,240,0.599,0.56,0.429,0.187,23.8,74.4,49.4,61.4,5.1,7.8,10.0,100.0,121.0,127.2
2025-03-06,Philadelphia 76ers,240,40,95,0.421,15,39,0.385,10,12,0.833,18,27,45,29,6,5,16,15,105,240,0.524,0.5,0.411,0.126,37.5,62.8,49.5,72.5,6.6,11.6,13.8,100.0,114.7,134.4
2025-03-06,Golden State Warriors,240,40,82,0.488,12,32,0.375,29,32,0.906,15,30,45,31,3,4,17,19,121,240,0.63,0.561,0.39,0.39,38.5,78.9,58.4,77.5,3.1,7.4,15.0,100.0,126.7,124.6
2025-03-06,Houston Rockets,240,46,81,0.568,9,29,0.31,8,18,0.444,9,32,41,33,10,6,19,24,109,240,0.613,0.623,0.358,0.222,25.7,68.1,50.0,71.7,10.5,10.7,17.6,100.0,114.1,101.6
2025-03-06,New York Knicks,265,37,94,0.394,10,43,0.233,25,32,0.781,14,32,46,20,10,2,16,21,109,265,0.504,0.447,0.457,0.34,27.5,72.7,48.4,54.1,9.6,4.3,12.9,100.0,104.6,108.5
2025-03-07,Cleveland Cavaliers,240,32,76,0.421,11,34,0.324,43,51,0.843,9,36,45,16,7,4,14,19,118,240,0.599,0.493,0.447,0.671,21.4,78.3,51.1,50.0,6.9,7.3,12.5,100.0,117.1,116.1
2025-03-07,Memphis Grizzlies,240,50,106,0.472,8,21,0.381,14,16,0.875,17,42,59,28,9,12,11,20,122,240,0.54,0.509,0.198,0.151,33.3,79.2,56.7,56.0,8.7,21.8,8.9,100.0,117.4,106.8
2025-03-07,Utah Jazz,240,39,84,0.464,8,31,0.258,23,39,0.59,19,37,56,21,5,10,25,18,109,240,0.539,0.512,0.369,0.464,42.2,62.7,53.8,53.8,4.9,17.2,19.8,100.0,106.9,115.7
2025-03-07,Minnesota Timberwolves,240,40,81,0.494,18,45,0.4,8,14,0.571,7,36,43,28,6,6,14,12,106,240,0.608,0.605,0.556,0.173,17.1,83.7,51.2,70.0,6.4,10.9,13.8,100.0,113.3,111.1
2025-03-07,Portland Trail Blazers,240,33,95,0.347,8,43,0.186,15,18,0.833,14,39,53,15,6,4,17,16,89,240,0.432,0.389,0.453,0.189,26.4,90.7,55.2,45.5,6.0,8.7,14.2,100.0,88.6,106.5
