Date,Team,basic_MP,basic_FG,basic_FGA,basic_FG%,basic_3P,basic_3PA,basic_3P%,basic_FT,basic_FTA,basic_FT%,basic_ORB,basic_DRB,basic_TRB,basic_AST,basic_STL,basic_BLK,basic_TOV,basic_PF,basic_PTS,advanced_MP,advanced_TS%,advanced_eFG%,advanced_3PAr,advanced_FTr,advanced_ORB%,advanced_DRB%,advanced_TRB%,advanced_AST%,advanced_STL%,advanced_BLK%,advanced_TOV%,advanced_USG%,advanced_ORtg,advanced_DRtg
2024-10-28,Houston Rockets,240.0,35.0,85.0,0.412,15.0,37.0,0.405,21.0,24.0,0.875,13.0,30.0,43.0,20.0,6.0,2.0,12.0,23.0,106.0,240.0,0.555,0.5,0.435,0.282,28.9,63.8,46.7,57.1,6.5,3.7,11.2,100.0,115.1,109.7
2024-10-28,Indiana Pacers,240.0,41.0,88.0,0.466,13.0,29.0,0.448,20.0,30.0,0.667,15.0,29.0,44.0,25.0,7.0,4.0,13.0,28.0,115.0,240.0,0.568,0.54,0.33,0.341,30.0,72.5,48.9,61.0,7.1,9.5,11.4,100.0,116.1,120.1
2024-10-28,Los Angeles Lakers,240.0,39.0,94.0,0.415,14.0,32.0,0.438,13.0,18.0,0.722,11.0,35.0,46.0,25.0,5.0,6.0,12.0,19.0,105.0,240.0,0.515,0.489,0.34,0.191,22.9,79.5,50.0,64.1,5.1,11.8,10.5,100.0,107.5,111.6
2024-10-28,Memphis Grizzlies,240.0,48.5,98.5,0.497,13.5,38.5,0.354,13.0,18.5,0.665,12.0,39.0,51.0,37.5,7.5,7.0,14.0,22.5,123.5,240.0,0.5845,0.5665,0.391,0.198,24.35,77.1,52.55,77.55,7.15,15.950000000000001,11.8,100.0,117.7,113.0
2024-10-28,Miami Heat,240.0,38.0,88.0,0.432,15.0,47.0,0.319,15.0,20.0,0.75,10.0,34.0,44.0,24.0,14.0,3.0,12.0,14.0,106.0,240.0,0.548,0.517,0.534,0.227,22.2,64.2,44.9,63.2,14.8,5.7,11.0,100.0,111.9,103.5
2024-10-28,Milwaukee Bucks,240.0,35.0,78.0,0.4485,9.0,32.0,0.28049999999999997,26.0,31.0,0.839,7.5,35.5,43.0,19.0,7.0,4.5,17.5,20.5,105.0,240.0,0.5734999999999999,0.507,0.41200000000000003,0.39849999999999997,17.85,82.35,50.45,54.6,7.0,10.75,16.05,100.0,104.65,116.6
2024-10-28,New York Knicks,240.0,40.0,90.0,0.444,9.0,28.0,0.321,15.0,18.0,0.833,13.0,30.0,43.0,22.0,8.0,3.0,16.0,21.0,104.0,240.0,0.531,0.494,0.311,0.2,28.9,76.9,51.2,55.0,8.3,6.5,14.0,100.0,107.9,114.2
2024-10-28,Orlando Magic,240.0,39.0,83.0,0.47,13.0,41.0,0.317,28.0,38.0,0.737,11.0,35.0,46.0,26.0,7.0,6.0,15.0,25.0,119.0,240.0,0.597,0.548,0.494,0.458,27.5,70.0,51.1,66.7,7.1,10.2,13.1,100.0,120.1,116.1
2024-10-28,Phoenix Suns,240.0,40.0,87.0,0.46,11.0,36.0,0.306,18.0,20.0,0.9,9.0,37.0,46.0,21.0,7.0,11.0,11.0,22.0,109.0,240.0,0.569,0.523,0.414,0.23,20.5,77.1,50.0,52.5,7.2,17.7,10.3,100.0,111.6,107.5
2024-10-28,Portland Trail Blazers,240.0,35.0,83.0,0.422,4.0,22.0,0.182,24.0,30.0,0.8,12.0,34.0,46.0,17.0,5.0,4.0,18.0,22.0,98.0,240.0,0.509,0.446,0.265,0.361,27.9,79.1,53.5,48.6,5.1,8.7,15.8,100.0,100.1,113.4
