Date_SingleModel,Home_SingleModel,Away_SingleModel,ActualWinner_SingleModel,PredictedWinner_SingleModel,ActualSpread_SingleModel,PredictedSpread_SingleModel,SpreadError_SingleModel,Correct_SingleModel,HomePoints_SingleModel,AwayPoints_SingleModel,PredictedHomePoints_SingleModel,PredictedAwayPoints_SingleModel,Date_monthBatchRetrain,Home_monthBatchRetrain,Away_monthBatchRetrain,ActualWinner_monthBatchRetrain,PredictedWinner_monthBatchRetrain,ActualSpread_monthBatchRetrain,PredictedSpread_monthBatchRetrain,SpreadError_monthBatchRetrain,Correct_monthBatchRetrain,HomePoints_monthBatchRetrain,AwayPoints_monthBatchRetrain,PredictedHomePoints_monthBatchRetrain,PredictedAwayPoints_monthBatchRetrain
2024-10-26,Detroit Pistons,Boston Celtics,Boston Celtics,Boston Celtics,6.0,1.4,4.6,True,118.0,124.0,120.8,122.3,2024-11-02,Philadelphia 76ers,Memphis Grizzlies,Memphis Grizzlies,Memphis Grizzlies,17.0,1.3,15.7,True,107.0,124.0,109.3,110.6
2024-10-26,Washington Wizards,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,19.0,17.9,1.1000000000000014,True,116.0,135.0,115.5,133.4,2024-11-02,Milwaukee Bucks,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,1.0,1.7,0.7,True,113.0,114.0,122.8,124.5
2024-10-26,Memphis Grizzlies,Orlando Magic,Memphis Grizzlies,Memphis Grizzlies,13.0,12.2,0.8000000000000007,True,124.0,111.0,123.8,111.6,2024-11-03,Brooklyn Nets,Detroit Pistons,Detroit Pistons,Brooklyn Nets,14.0,1.5,12.5,False,92.0,106.0,112.0,110.5
2024-10-27,Golden State Warriors,Los Angeles Clippers,Los Angeles Clippers,Los Angeles Clippers,8.0,10.6,2.5999999999999996,True,104.0,112.0,103.7,114.3,2024-11-03,New Orleans Pelicans,Atlanta Hawks,Atlanta Hawks,Atlanta Hawks,15.0,1.7,13.3,True,111.0,126.0,123.0,124.6
2024-10-27,Oklahoma City Thunder,Atlanta Hawks,Oklahoma City Thunder,Oklahoma City Thunder,24.0,24.0,0.0,True,128.0,104.0,125.9,101.9,2024-11-03,Dallas Mavericks,Orlando Magic,Dallas Mavericks,Dallas Mavericks,23.0,5.9,17.1,True,108.0,85.0,108.3,102.4
2024-10-27,Brooklyn Nets,Milwaukee Bucks,Brooklyn Nets,Brooklyn Nets,13.0,8.2,4.800000000000001,True,115.0,102.0,112.4,104.1,2024-11-04,Minnesota Timberwolves,Charlotte Hornets,Minnesota Timberwolves,Minnesota Timberwolves,21.0,5.3,15.7,True,114.0,93.0,121.5,116.2
2024-10-27,Portland Trail Blazers,New Orleans Pelicans,Portland Trail Blazers,Portland Trail Blazers,22.0,15.7,6.300000000000001,True,125.0,103.0,121.7,105.9,2024-11-04,Los Angeles Clippers,San Antonio Spurs,Los Angeles Clippers,San Antonio Spurs,9.0,2.0,7.0,False,113.0,104.0,107.1,109.1
2024-10-27,Indiana Pacers,Philadelphia 76ers,Philadelphia 76ers,Philadelphia 76ers,4.0,4.8,0.7999999999999998,True,114.0,118.0,112.1,116.9,2024-11-04,Denver Nuggets,Toronto Raptors,Denver Nuggets,Denver Nuggets,2.0,2.1,0.10000000000000009,True,121.0,119.0,119.7,117.5
2024-10-28,Phoenix Suns,Los Angeles Lakers,Phoenix Suns,Phoenix Suns,4.0,6.1,2.0999999999999996,True,109.0,105.0,108.4,102.3,2024-11-04,Dallas Mavericks,Indiana Pacers,Indiana Pacers,Dallas Mavericks,7.0,4.5,2.5,False,127.0,134.0,113.9,109.4
2024-10-28,Sacramento Kings,Portland Trail Blazers,Sacramento Kings,Sacramento Kings,13.0,11.0,2.0,True,111.0,98.0,111.3,100.3,2024-11-04,New Orleans Pelicans,Portland Trail Blazers,Portland Trail Blazers,Portland Trail Blazers,18.0,3.2,14.8,True,100.0,118.0,109.2,112.4
2024-10-28,Memphis Grizzlies,Chicago Bulls,Chicago Bulls,Chicago Bulls,3.0,1.4,1.6,True,123.0,126.0,120.8,122.2,2024-11-04,Oklahoma City Thunder,Orlando Magic,Oklahoma City Thunder,Oklahoma City Thunder,16.0,7.5,8.5,True,102.0,86.0,108.3,100.8
2024-10-28,San Antonio Spurs,Houston Rockets,Houston Rockets,San Antonio Spurs,5.0,0.0,5.0,False,101.0,106.0,104.1,104.1,2024-11-04,Houston Rockets,New York Knicks,Houston Rockets,New York Knicks,12.0,6.4,5.6,False,109.0,97.0,111.2,117.6
